episode,status,runtime,reward,collisions_agent,collisions_obs,success
467,Success,836.64,-0.106,0,0,1
468,Success,838.12,-0.044,0,0,1
469,Success,839.89,-0.061,0,0,1
470,Success,841.29,-0.039,0,0,1
471,Success,843.74,-0.1,0,0,1
472,Success,845.32,-0.072,0,0,1
473,Obstacle Collision,847.96,-1.35,0,1,0
474,Obstacle Collision,849.99,-1.311,0,1,0
475,Success,852.39,-0.922,0,0,1
476,Obstacle Collision,853.54,-1.278,0,1,0
477,Success,855.04,-0.056,0,0,1
478,Success,857.41,-0.089,0,0,1
479,Success,858.59,-0.044,0,0,1
480,Success,859.82,-0.05,0,0,1
481,Success,861.29,-0.072,0,0,1
482,Success,863.65,-0.089,0,0,1
483,Success,865.43,-0.05,0,0,1
484,Success,867.28,-0.083,0,0,1
485,Success,869.15,-0.072,0,0,1
486,Success,870.32,-0.05,0,0,1
487,Obstacle Collision,871.23,-1.272,0,1,0
488,Obstacle Collision,872.16,-1.278,0,1,0
489,Success,874.37,-0.072,0,0,1
490,Success,876.1,-0.061,0,0,1
491,Success,877.6,-0.05,0,0,1
492,Success,879.16,-0.05,0,0,1
493,Obstacle Collision,880.48,-1.294,0,1,0
494,Obstacle Collision,887.91,-2.611,0,1,0
495,Success,888.87,-0.028,0,0,1
496,Agent Collision,891.72,-2.65,1,0,0
497,Agent Collision,892.64,-3.444,1,0,0
498,Obstacle Collision,893.45,-1.05,0,1,0
499,Obstacle Collision,895.46,-1.328,0,1,0
500,Success,896.87,-0.056,0,0,1
501,Success,898.05,-0.044,0,0,1
502,Obstacle Collision,899.33,-1.283,0,1,0
503,Success,901.35,-0.056,0,0,1
504,Obstacle Collision,902.34,-0.968,0,1,0
505,Success,905.02,-0.089,0,0,1
506,Success,906.05,-0.039,0,0,1
507,Obstacle Collision,909.18,-1.339,0,1,0
508,Obstacle Collision,911.81,-1.344,0,1,0
509,Success,913.7,-0.067,0,0,1
510,Obstacle Collision,917.01,-1.489,0,1,0
511,Obstacle Collision,917.99,-0.775,0,1,0
512,Success,919.84,-0.061,0,0,1
513,Obstacle Collision,921.07,-1.067,0,1,0
514,Success,922.91,-0.067,0,0,1
515,Success,923.58,-0.022,0,0,1
516,Success,925.96,-0.083,0,0,1
517,Success,926.97,-0.044,0,0,1
518,Success,929.57,-0.078,0,0,1
519,Obstacle Collision,933.69,-1.483,0,1,0
520,Success,936.22,-0.094,0,0,1
521,Success,937.79,-0.906,0,0,1
522,Obstacle Collision,938.47,-1.267,0,1,0
523,Success,941.18,-0.15,0,0,1
524,Success,942.98,-0.072,0,0,1
525,Obstacle Collision,943.55,-1.044,0,1,0
526,Obstacle Collision,945.63,-9.0,0,1,0
527,Obstacle Collision,946.06,-1.261,0,1,0
528,Success,948.7,-0.1,0,0,1
529,Obstacle Collision,949.3,-1.156,0,1,0
530,Obstacle Collision,949.89,-1.267,0,1,0
531,Obstacle Collision,954.06,-1.378,0,1,0
532,Obstacle Collision,955.43,-1.283,0,1,0
533,Success,957.2,-0.061,0,0,1
534,Success,958.78,-0.061,0,0,1
535,Obstacle Collision,960.36,-1.189,0,1,0
536,Success,962.41,-0.933,0,0,1
537,Success,964.36,-0.061,0,0,1
538,Obstacle Collision,965.03,-1.267,0,1,0
539,Success,967.37,-0.089,0,0,1
540,Success,969.11,-0.067,0,0,1
541,Success,971.61,-0.072,0,0,1
542,Timeout,980.11,-0.6,0,0,0
543,Obstacle Collision,981.88,-2.167,0,1,0
544,Success,983.2,-0.061,0,0,1
